des,type,p,q,soi,a,e,i,q
2060, centaur,0,0, S,13.66,0.381,6.936,8.45554
5145, centaur,0,0, S,20.321,0.573,24.688,8.677067
7066, centaur,0,0, S,24.516,0.518,15.647,11.816712
8405, centaur,0,0, S,18.009,0.62,17.624,6.84342
10199, centaur,0,0, S,15.759,0.171,23.39,13.064211
10370, centaur,0,0, S,25.025,0.246,4.144,18.86885
15760, classical, m,0, S,43.933,0.069,2.186,40.901623
15788, resonant,3,2, S,39.317,0.32,1.937,26.73556
15789, resonant,3,2, S,39.527,0.186,5.157,32.174978
15807, classical, m,0, S,43.747,0.061,0.564,41.078433
15809, resonant,5,3, S,42.189,0.217,14.045,33.033987
15810, resonant,3,2, S,39.354,0.117,3.803,34.749582
15820, resonant,3,2, S,39.457,0.317,12.137,26.949131
15836, resonant,4,3, S,36.377,0.074,6.555,33.685102
15874, scattering,0,0, S,83.413,0.58,23.979,35.03346
15875, resonant,3,2, S,39.381,0.331,5.691,26.345889
15883, classical, m,0, S,47.046,0.213,19.152,37.025202
16684, classical, m,0, S,44.068,0.05,3.745,41.8646
19255, classical, m,0, S,42.787,0.033,1.487,41.375029
19299, resonant,3,2, S,39.569,0.258,4.737,29.360198
19308, classical, m,0, I,43.298,0.119,27.425,38.145538
19521, classical, m,0, I,45.731,0.103,12.035,41.020707
20000, classical, m,0, S,42.948,0.054,17.175,40.628808
20108, resonant,3,2, S,39.455,0.146,19.557,33.69457
20161, resonant,2,1, S,47.796,0.398,12.424,28.773192
24835, classical, m,0, S,41.796,0.105,27.044,37.40742
24952, resonant,3,2, S,39.355,0.226,16.564,30.46077
24978, classical, m,0, S,43.32,0.049,2.394,41.19732
26181, detached,0,0, I,93.159,0.589,13.352,38.288349
26308, resonant,2,1, S,47.65,0.371,13.496,29.97185
26375, resonant,5,2, S,55.4,0.418,7.619,32.2428
28978, resonant,3,2, S,39.497,0.244,19.63,29.859732
29981, scattering,0,0, S,96.376,0.873,5.959,12.239752
31824, centaur,0,0, S,11.783,0.383,5.246,7.270111
32532, centaur,0,0, S,10.638,0.198,20.351,8.531676
32929, resonant,3,2, S,39.64,0.263,4.835,29.21468
33001, classical, m,0, S,43.451,0.038,1.456,41.799862
33128, scattering,0,0, S,33.265,0.384,14.249,20.49124
33340, resonant,3,2, S,39.249,0.252,3.038,29.358252
35671, classical, i,0, S,37.894,0.043,4.604,36.264558
38083, classical, i,0, S,38.979,0.154,12.752,32.976234
38084, resonant,5,2, S,55.608,0.414,13.15,32.586288
38628, resonant,3,2, S,39.413,0.276,15.474,28.535012
40314, detached,0,0, S,48.758,0.304,24.816,33.935568
42301, resonant,9,4, S,51.552,0.284,0.752,36.911232
42355, scattering,0,0, S,37.79,0.536,2.429,17.53456
44594, scattering,0,0, S,32.222,0.454,2.623,17.593212
45802, classical, m,0, S,43.424,0.012,1.182,42.902912
47171, resonant,3,2, S,39.407,0.225,8.415,30.540425
47932, resonant,3,2, S,39.341,0.281,10.815,28.286179
48639, classical, o,0, S,52.53,0.237,0.245,40.08039
49036, centaur,0,0, S,19.975,0.136,9.348,17.2584
49673, classical, m,0, S,43.124,0.103,22.527,38.682228
50000, classical, m,0, S,43.335,0.037,7.991,41.731605
52747, classical, m,0, I,44.397,0.06,0.546,41.73318
52872, jc,0,0, S,8.346,0.306,15.655,5.792124
52975, centaur,0,0, S,26.168,0.379,12.636,16.250328
53311, classical, m,0, S,44.066,0.062,0.368,41.333908
54520, scattering,0,0, I,123.276,0.768,5.707,28.600032
54598, centaur,0,0, S,16.49,0.201,20.737,13.17551
55565, classical, m,0, S,47.196,0.129,24.383,41.107716
55576, centaur,0,0, S,25.011,0.393,13.343,15.181677
55636, classical, m,0, S,43.253,0.123,25.854,37.932881
55637, classical, m,0, S,42.668,0.142,19.434,36.609144
55638, resonant,3,2, S,39.294,0.288,16.327,27.977328
58534, classical, m,0, S,45.218,0.12,2.898,39.79184
59358, scattering,0,0, S,41.446,0.208,10.029,32.825232
60454, classical, m,0, S,44.316,0.086,1.164,40.504824
60458, detached,0,0, S,59.496,0.404,19.702,35.459616
60558, centaur,0,0, S,10.712,0.457,4.341,5.816616
60608, scattering,0,0, S,49.18,0.541,5.951,22.57362
60620, resonant,7,4, S,43.742,0.221,19.511,34.075018
60621, resonant,5,2, S,55.315,0.402,5.871,33.07837
63252, centaur,0,0, S,9.756,0.297,12.585,6.858468
65489, scattering,0,0, S,100.526,0.823,22.296,17.793102
66452, classical, m,0, S,44.95,0.065,2.659,42.02825
66652, resonant,7,4, I,43.731,0.087,0.563,39.926403
69986, resonant,3,2, S,39.435,0.225,13.933,30.562125
69987, classical, m,0, S,42.516,0.022,1.047,41.580648
69988, resonant,5,2, S,55.181,0.429,9.456,31.508351
69990, resonant,3,2, S,39.232,0.186,6.578,31.934848
73480, scattering,0,0, S,30.911,0.569,16.634,13.322641
76803, classical, i,0, S,38.606,0.123,33.732,33.857462
78799, scattering,0,0, S,37.498,0.249,14.356,28.160998
79360, classical, m,0, S,43.86,0.011,2.245,43.37754
79969, resonant,5,4, S,34.891,0.083,3.178,31.995047
